Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
POSCOD,,,POS,Postal codes,Supervisor,
POSTE,New table,Modification,POT,Position,Common Data,FHRPA
POSTEDEF,New table,,POD,Item default value,Common Data,FHRPA
POSTEHAB,New table,,PHA,Authorizations,Common Data,FHRPA
POSTEKSA,New table,Modification,PSS,Additional RSA fields,Common Data,FKGPH
PPREASON,,,PPR,Purchase price reasons,Common Data,
PPREQUESTD,New table,,HRPPD,Prepaid - Requests,Human Resources administration,
PPREQUESTH,New table,,HRPPH,Prepaid - Requests,Human Resources administration,
PPRICCONF,,,PPC,Supplier pricing parameters,Common Data,
PPRICFICH,,,PPF,Supplier prices (records),Common Data,
PPRICLINK,Modification,Modification,PPK,Purchase price list search (link),Purchasing,
PPRICLIST,,,PPL,Supplier price lists,Common Data,
PPRIVARWRK,Modification,Modification,PPV,Purchase price variance report,Purchasing,
PPVRALISD,New table,,HRPVD,Prepay - List of Variables,Human Resources administration,
PPVRALISH,New table,,PVH,Prepay - List of Variables,Human Resources administration,
PQUOTAT,,,PQH,RFQs,Purchasing,
PQUOTATD,,,PQD,RFQ product detail,Purchasing,
PQUOTATF,,,PQF,RFQ supplier detail,Purchasing,
PRECEIPT,Modification,Modification,PTH,Receipt,Purchasing,
PRECEIPTD,Modification,Modification,PTD,Detail receipts,Purchasing,
PREPINVOICE,New table,New table,PREPI,Prepayment invoice,A/P-A/R accounting,PREPM
PREPINVOICED,New table,New table,PREPID,Prepayment invoice detail,A/P-A/R accounting,PREPM
PREPINVOICEF,New table,New table,PREPIDF,Final invoices,A/P-A/R accounting,PREPM
PREPINVOICEP,New table,New table,PREPIP,Prepayment invoice payments,A/P-A/R accounting,PREPM
PREQUIS,Modification,,PSH,Purchase requests,Purchasing,
PREQUISA,,,PSA,Link purchase requests,Purchasing,
PREQUISD,Modification,Modification,PSD,Purchase request detail,Purchasing,
PREQUISO,,,PSO,Link purchase requests,Purchasing,
PREREPORT,,,PPP,Calculate crystal report currency,Common Data,
PRESP,,,PPH,RFQ responses,Purchasing,
PRESPD,,,PPD,Detail RFQ responses,Purchasing,
PRESTATION,New table,,PSN,Service provision,Common Data,FINTM
PRESTCOV,,,PCO,Covered services,Common Data,
PRETURN,Modification,Modification,PNH,Returns,Purchasing,
PRETURND,Modification,Modification,PND,Detail return,Purchasing,
PRICSTRUCT,,,PRS,Price structure (cust/supp),Common Data,
PRJFAS,,,PJF,Assets,Financials,GDFAS
PRJLOT,,,PJL,Lot,Financials,GDD
PRMDADSU,,,PRM,Extraction parameterization,Financials,DAS
PRMDUCS,New table,,DUC,Extraction parameterization,Human Resources administration,
PRMTDS0,New table,Modification,TD0,Extraction parameterization,Human Resources administration,
PRMTDS1,New table,Modification,TD1,Extraction parameterization,Human Resources administration,KFR
PROFIL,New table,Modification,PRF,Employee profile,Common Data,FHRPA
PROFILDEF,New table,,HRPFD,Employee profile Default values,Common Data,FHRPA
PROJET,,,PRJ,Project,Financials,GDD
PROPLN,,,PLP,Production plan,Fixed Assets,
PROPLNH,,,PLH,Production plan,Fixed Assets,
PROROG,,,PRO,Due date extension,A/P-A/R accounting,
PROROGPCE,,,PRP,Due date extension,A/P-A/R accounting,
PRTSCRWRK,,,PSW,Screen print work,Supervisor,
PRVCLOB,New table,,HRPCB,Provisional slip texts,Human Resources administration,
PSEPLN,,,PSE,Seasonality plan,Fixed Assets,PSE
PTDSTKVAL,New table,New table,PSV,Adjustment,Purchasing,
PURTRS,Modification,Modification,PTR,Entered purchase transactions,Purchasing,
PVCRFOOT,,,PVF,Purchase documents - footer elt,Purchasing,
PVCRVAT,,,PVV,Purchase documents - taxes,Purchasing,
PWRKORDERS,,,PWO,Requirements considered,Purchasing,
PWRKPND,Modification,,PWR,Return line detail temporary,Purchasing,
PWRKPNH,,,PWE,Temporary return,Purchasing,
PWRKPOC,Modification,Modification,PWC,Temporary product-contract,Purchasing,
PWRKPOP,Modification,,PWP,Temporary product-contract,Purchasing,
PWRKPOQ,,,PWQ,Temporary order detail,Purchasing,
PWRKPQF,,,PWF,RFQ ADR supplier temporary,Purchasing,
PWRKPTD,Modification,,PWD,Temporary detail receipt,Purchasing,
PWRKPTH,,,PWH,Temporary receipt,Purchasing,
PWRKSTT,,,PWS,Subcontract,Purchasing,
PYHCAS,,,PCH,Treasury interface,Financials,CASIN
PYRAPAR,,,PYRA,HRMS payroll NA setup,Common Data,PYRA
QLYCRD,Modification,Modification,QLC,Technical sheets,Common Data,
QLYCRDASW,Modification,Modification,QLA,Quality records - responses,Common Data,
QLYCRDNQA,,,NQA,Sampling: AQL criteria,Common Data,
QLYCRDQST,Modification,Modification,QLQ,Quality records - questions,Common Data,
QLYWRK,Modification,Modification,QLW,Work file - responses,Common Data,
QUEUE,,,QUE,Queue,Common Data,
QURCRI,,,QCR,Criteria of target,CRM activities,
QURCRIVAL,,,QCV,Criteria values,CRM activities,
QUREXTRACT,,,QTX,Extraction of targets,CRM activities,
QURTMP,,,QTP,Target process,CRM activities,
RBKBELDET,,,RBD,Belgian bank statement detail,A/P-A/R accounting,KBE
RBKBELDUD,,,RBU,Belgian bank stmnt open item,A/P-A/R accounting,KBE
RBKBELHEA,,,RBH,Belgian bank statement,A/P-A/R accounting,KBE
RBKBELTMP,,,RBW,Belgian bank stmnt open item,A/P-A/R accounting,KBE
RBKRUBBEL,,,RRB,CODA headings,A/P-A/R accounting,KBE
RCRINVOICE,,,RCH,Recurring invoices,A/P-A/R accounting,
REACHPAR,,,RPA,REACH setup,Common Data,
REGUL,New table,Modification,RGL,Adjustments,Human Resources administration,
RELBANK,Modification,Modification,RBK,Bank account statement,A/P-A/R accounting,
RELBANKREM,,,RBR,Bank statement comments,A/P-A/R accounting,
RELMT940,,,RLT,File FMT940 (header),A/P-A/R accounting,KDE
RELMT940D,,,RLD,File FMT940 (lines),A/P-A/R accounting,
REPART,New table,,HRREP,Distribution methods,Human Resources administration,
REPCUMTDS,New table,Modification,RCT,Recovery of Dads-U totals,Human Resources administration,KFR
REPLINDEF,,,RLI,TaxUID management,Financials,KDEAT
REPORTMPOR,New table,New table,RMPOR,Temporary print key table,Human Resources administration,KPOAO
REPSEC,,,RSE,Secondary marketing contacts,Common Data,
RESOURCES,,,RSS,Resources,CRM activities,
RESRES,,,RRS,Resource reservations,CRM activities,
RETRO,New table,,RET,Back-pay file,Human Resources administration,
RETROCAL,New table,,REC,Back-pay - calculations,Human Resources administration,
RETROCTR,New table,,RCR,Back-pay - Employees,Common Data,HRPAY
RETRORUB,New table,,RER,Back-pay - Items,Human Resources administration,
RETROSAL,New table,,RES,Back-pay - Employees,Human Resources administration,
RETROVAL,New table,,RVL,Back-pay - Variables,Human Resources administration,
RETROVRA,New table,,REV,Back-pay - Variables,Human Resources administration,
REVREC,New table,New table,REVREC,Revenue recognition rules,Financials,REVRC
REVRECD,New table,New table,RRCD,Rev. recognition rules detail,Financials,REVRC
REVRECT,New table,New table,RRCT,Revenue recognition,Financials,REVRC
REVRECV,New table,New table,REVRECV,Revenue recognition header,Financials,REVRC
REVRECVD,New table,New table,RRCVD,Revenue recognition details,Financials,REVRC
RHSBONFAC,New table,New table,RHSBF,Invoice printing header,Sales,
RITCUM,,,RCU,Withholding total,A/P-A/R accounting,KAG
RITDUD,,,RIU,Withholdings by open item,Common Data,KAG
RITENZIONE,,,RTZ,Table of withholding codes,Common Data,
RITHIS,Modification,Modification,RTH,History of paid withholdings,Common Data,WTHMG
RITMVT,Modification,Modification,RTM,Withholding movements,Common Data,WTHMG
RLSBONFAC,New table,New table,RLSBF,SBONFACFRA report lines,Sales,
RLSBONFACI,New table,New table,RLSBFI,SBONFACFRA invoicing elements,Sales,
RLSBONFACO,New table,New table,RLSBFO,SBONFACFRA open items,Sales,
RNWPREP,,,RWP,Renewal,Fixed Assets,CCN
ROUOPE,,,ROO,Routing - operations,Manufacturing,
ROUOPESTD,,,ROT,Standard operations,Manufacturing,
ROUSCD,,,ROS,Routing - scheduling operation,Manufacturing,
ROUTING,,,ROH,Routings - header,Manufacturing,
RPLWST,Modification,,RPW,Alternate work centers,Manufacturing,
RPTDS,,,RDS,Report electronic signatures,Common Data,KPO
RSLINESGER1,,,RSLG1,Recapitulative statement,A/P-A/R accounting,KDEAT
RSLINESGER2,,,RSLG2,Recapitulative statement,A/P-A/R accounting,KDEAT
RSSCPC,New table,New table,RCPC,Skills,Human Resources administration,
RSSCPCH,New table,New table,RCPH,Skills,Human Resources administration,
RSSCPCL,New table,New table,RCPCL,Skills,Human Resources administration,
RSSMNG,New table,New table,RSSM,Resource,Human Resources administration,
RSSMNGHR,New table,New table,RSSMH,Resource,Human Resources administration,
RSSMNGPIC,New table,New table,RSSP,Resource,Human Resources administration,
RSSMNGTYP,New table,New table,RSST,Resource,Human Resources administration,
RSSQLF,New table,New table,RQLF,Qualification,Human Resources administration,
RSSQLFL,New table,New table,RQLFL,Qualification,Human Resources administration,
RUBASSDEF,,,RDE,Associations - definition,Fixed Assets,
RUBASSDEFP,,,RDP,Associations - definition/plan,Fixed Assets,
RUBASSVAL,,,RVA,Associations - values,Fixed Assets,
RUBASSVALP,,,RVP,Associations - values/plan,Fixed Assets,
RUBGAC,New table,New table,RGA,Accounts on headings,Human Resources administration,
RUBHIS,New table,,RUH,Heading,Human Resources administration,MAS
RUBRIQUE,New table,Modification,RUB,Heading,Human Resources administration,
RVACOED,,,COD,Reval. coefficient (detail),Fixed Assets,
RVACOEH,Modification,,COH,Reval. coefficient (header),Fixed Assets,
RVMVAL,New table,,RVV,Routing versions,Manufacturing,
SAFTPTTMP1,,,SAFTP,SAF-T,Common Data,SAFT
SAITRS,,,SAI,Entry transaction,Fixed Assets,
SAITRSDET,,,DST,Entry transaction detail,Fixed Assets,
SALESREP,,,REP,Sales rep,Common Data,
SALESTAX,,,STB,Sales tax report,Sales,
SALTRS,Modification,Modification,SLT,Entered sales transactions,Sales,
SBGEO,,,SBG,Consulting fields of service suppliers,Help Desk,
SBODLINK,Modification,,SBK,Component qty. calculation (link),Sales,
SBPBL,,,SBP,Service suppliers' skills,Help Desk,
SCALE,New table,Modification,HRSCA,Level scale,Common Data,FHRPA
SCALED,New table,,HRSDD,Detail level scale,Common Data,FHRPA
SCALENIV,New table,New table,SCN,Level scale,Common Data,FHRPA
SCALES,,,SLE,Weighing scales,Manufacturing,MWM
SCHEDULING,Modification,,SCH,Work order scheduling,Manufacturing,
SCHGD,Modification,Modification,SGD,Stock change line,Stock,
SCHGH,Modification,Modification,SGH,Stock change header,Stock,
SCMAPAR,,,SZP,APS Forecast setup,Stock,
SCMDPAR,,,SDP,SCM n.skep setup,Stock,
SCOHEAD,,,SCO,Subcontract order,Purchasing,
SCOITM,Modification,,SCI,Subcontract order,Purchasing,
SCOMAT,,,SCM,Order sub-contract materials,Purchasing,
SCOSRV,,,SCS,Order sub-contract services,Purchasing,
SCOTRK,Modification,,SCK,Sub-contract tracking,Purchasing,
SCPASW,,,SCA,Call script responses,CRM activities,
SCPQST,,,SCQ,Call script questions,CRM activities,
SCPQSTCND,,,SQC,Routing conditions,CRM activities,
SCREMPD,New table,,HRSMD,Employee screens,Common Data,FHRPA
SCREMPH,New table,,HRSMH,Employee screens,Common Data,FHRPA
SCRIPT,,,SCP,Call script,CRM activities,
SCRMHCD,New table,,SCD,Modif hypothesis transaction,Human Resources administration,MAS
SCRMHCH,New table,,HRSCH,Modif hypothesis transaction,Human Resources administration,MAS
SCRMHED,New table,,SED,Arrival hypothesis transaction,Human Resources administration,MAS
SCRMHEH,New table,,SEH,Arrival hypothesis transaction,Human Resources administration,MAS
SCRMHXD,New table,,SXD,Departure hypothesis transaction,Human Resources administration,MAS
SCRMHXH,New table,,SXH,Departure hypothesis transaction,Human Resources administration,MAS
SCRPLFD,New table,,HRSPD,Entry transactions,Human Capital management,
SCRPLFH,New table,Modification,HRSPH,Entry transactions,Human Capital management,
SCRTPSD,New table,New table,STD,Entry transactions,Human Resources administration,
SCRTPSH,New table,New table,STH,Entry transactions,Human Resources administration,
SCRVRA,New table,Modification,SVR,Variable entry screens,Human Resources administration,
SDELIVERY,Modification,Modification,SDH,Delivery header,Sales,
SDELIVERYD,Modification,Modification,SDD,Delivery detail,Sales,
SDELIVERYNO,New table,New table,SDN,Sales delivery notification,Sales,EDIX3
SDELIVERYNOD,New table,New table,SDND,Sales delivery notification,Sales,EDIX3
SEARESULT,,,LUP,Search result,Common Data,
SEASON,,,SES,Trend profiles,Common Data,
SEAUTH,,,SEU,Credit card authorizations,Common Data,SEPP
SEBPC,,,SEB,Payment gateway customer data,Common Data,SEPP
SECACT,,,SEA,Activity sector,Fixed Assets,
SECPST,,,SPT,Lead sector,CRM activities,
SECPSTSEL,,,SPS,Lead sector selection,CRM activities,
SELACC,New table,New table,SACC,Selected accounts,Financials,REVRC
SELCMG,,,SEC,List of marketing selections,CRM activities,
SELCMGLIS,,,SCL,Marketing selection guide,CRM activities,
SELSSP,,,SSP,Support of selections,CRM activities,
SELSSPCPN,,,SSC,Selection support components,CRM activities,
SENTENCES,,,RSY,Safety risk sentences,Manufacturing,MWM
SEPAR,Modification,,SEP,Payment gateways,Common Data,SEPP
SEPRC,,,SER,Payment gateway setup,Common Data,SEPP
SERREQUEST,Modification,,SRE,Service requests,Common Data,
SERVICE,New table,,SRV,Services,Common Data,FHRPA
SESJOU,New table,,SEJ,Session days,Human Capital management,
SESSIONS,New table,Modification,HRSES,Session,Human Capital management,FRT
SETMAC,,,SEM,Listed base in requested model,Common Data,
SETMACCPN,,,SEN,Components concerned,Common Data,
SETXN,,,SEX,Credit card transactions,Common Data,SEPP
SFANAPAR,,,SFA,Sage fixed assets NA setup,Common Data,FASNA
SFOOTINV,Modification,,SFI,Invoicing elements,Common Data,
SFTINDREF,New table,,SFTIR,Indirect references,Common Data,
SFTSHIFT,New table,,SFTS,Shift code,Common Data,
SFTTEM,New table,,SFTTM,Teams,Common Data,
SFTTEMH,New table,,SFTTH,Team history,Common Data,
SFTTXN,New table,Modification,SFTX,Shop floor transactions,Manufacturing,
SFTTXNH,New table,Modification,SFTH,Shop floor trans. history,Manufacturing,
SHIPDOC,New table,,SHIPD,Shipment documents,Purchasing,
SHIPMENT,Modification,Modification,SHH,Shipment,Purchasing,
SHIPMENTD,Modification,,SHD,Shipment detail,Purchasing,
SHIPTRACK,New table,,SHIPT,Shipment logistical tracking,Purchasing,
SINCDET,,,SND,Line price review definition,Sales,
SINCENT,,,SNE,Price update definition,Sales,
SINVOICE,Modification,Modification,SIH,Sales invoices,Common Data,
SINVOICED,Modification,Modification,SID,Sales invoice detail,Sales,
SINVOICEDLOC,New table,New table,SIDLOC,Sales invoice detail,Sales,
SINVOICELOC,New table,New table,SIHLOC,Sales invoices,Common Data,
SINVOICEV,Modification,Modification,SIV,Costing sales invoice,Sales,
SIPARJOU,,,SPJ,Integrale migration,Common Data,SMI
SIPARVAC,,,SPV,Integrale migration,Common Data,SMI
SIPARVACB,,,SVB,Integrale migration,Common Data,SMI
SIPARX3,,,SPX,Integrale migration,Common Data,SMI
SITEPAYE,New table,Modification,HRSIT,Sites,Common Data,FHRPA
SITRACAR,,,SIC,Transcoding,Common Data,SMI
SITRACOD,,,SIR,Transcoding,Common Data,SMI
SITRAWRK,,,SIW,Transcoding,Common Data,SMI
SIWRKX3,,,SWX,Integrale migration,Common Data,SMI
SKLMAP,New table,New table,SKM,New staff requisition to SM,Common Data,FHRPA
SKLMAPC,New table,New table,SKMC,test,Common Data,FHRPA
SLFPITTMP,New table,New table,SLFT,Lot-site PIT,Common Data,
SLOTMD,Modification,Modification,SLD,Lot modification line,Stock,
SLOTMH,Modification,,SLH,Lot modification header,Stock,
SMPKIT,New table,New table,KIT,SMP Keep in touch,Human Resources administration,FUKPH
SMVTD,,,SMD,Stock movement detail,Stock,
SMVTDVAL,,,SMV,Movement price,Stock,
SMVTH,Modification,Modification,SMH,Movement header,Stock,
SNPAFF,New table,New table,SPAF,Employee assignment,Common Data,PJM
SNPBUD,New table,New table,SPJBU,Project budget,Common Data,PJM
SNPBUDLIG,New table,New table,SPJLB,Budget line,Common Data,PJM
SNPMSTNEXINV,New table,New table,SPJMST,Next invoice milestone,Common Data,PJM
SNPOPEAFF,New table,New table,SPJOA,Employee assignment,Common Data,PJM
SNPOPPOR,New table,New table,SOPP,Project,Common Data,PJM
SNPOPPORPJM,New table,New table,SOPPPJM,PJM project,Common Data,PJM
SNPPIMPL,New table,New table,SPIM,Project link,Common Data,PJM
SNPTSK,New table,New table,SPJTA,Project task,Common Data,PJM
SNPTSKITM,New table,New table,SJTT,Main product,Common Data,PJM
SNPTSKLNK,New table,New table,SPTLNK,Task precedence link,Common Data,PJM
SNPTSKOPE,New table,New table,SPTKO,Tasks - Operations,Common Data,PJM
SNPTSKOPELNK,New table,New table,SOPLNK,Operation precedence link,Common Data,PJM
SOCACTRPT0,New table,New table,SAUR0,Social activity unique report,Common Data,FPOPH
SOCACTRPT1,New table,New table,SAUR1,Social activity unique report,Common Data,KPO
SOCACTRPT2,New table,New table,SAUR2,Social activity unique report,Common Data,FPOPH
SOCACTRPTA,New table,New table,SAURA,Social activity unique report,Common Data,FPOPH
SOCACTRPTB,New table,New table,SAURB,Social activity unique report,Common Data,FPOPH
SOCACTRPTC,New table,New table,SAURC,Social activity unique report,Common Data,FPOPH
SOCACTRPTC1,New table,New table,SAURC1,Social activity unique report,Common Data,FPOPH
SOCACTRPTC2,New table,New table,SAURC2,Social activity unique report,Common Data,FPOPH
SOCACTRPTD,New table,New table,SAURD,Social activity unique report,Common Data,FPOPH
SOCACTRPTE,New table,New table,SAURE,Social activity unique report,Common Data,FPOPH
SOCACTRPTEK,New table,New table,SAUREK,Social activity unique report,Common Data,FPOPH
SOCACTRPTH,New table,New table,SAURH,Social activity unique report,Common Data,FPOPH
SOI,,,SOI,Statement creation,A/P-A/R accounting,
SOLDPAY,New table,,HRSDP,Payment balance,Human Resources administration,
SOLRESULT,,,SOR,Solutions found,Help Desk,
SOLUTION,,,SOL,Solutions,Help Desk,
SORDER,Modification,Modification,SOH,Sales orders - header,Sales,
SORDERC,Modification,,SOC,Sales orders - early / late,Sales,
SORDERP,Modification,Modification,SOP,Sales orders - price,Sales,
SORDERQ,Modification,Modification,SOQ,Sales orders - quantities,Sales,
SPACK,,,SPH,Delivery package,Stock,
SPACKD,Modification,Modification,SPD,Delivery package detail,Stock,
SPAMOD111,New table,Modification,SPM111,Spanish form 111,Financials,KSP
SPAMOD115,New table,Modification,SPM115,Spanish form 115,Financials,KSP
SPAMOD123,New table,Modification,SPM123,Spanish form 123,Financials,KSP
SPAMOD180,New table,,SPM180,Spanish form 180,Financials,KSP
SPAMOD1801,New table,Modification,SPM1801,Spanish form 180,Financials,KSP
SPAMOD190,New table,,SPM190,Spanish form 190,Financials,KSP
SPAMOD1901,New table,Modification,SPM1901,Spanish form 190 details,Financials,KSP
SPAMOD193,New table,,SPM193,Spanish form 193,Financials,KSP
SPAMOD1931,New table,Modification,SPM1931,Spanish form 193_1,Financials,KSP
SPAMOD1932,New table,,SPM1932,Spanish form 193_2,Financials,KSP
SPAMOD216,New table,Modification,SPM216,Spanish form 216,Financials,KSP
SPAMOD296,New table,,SPM296,Spanish form 296,Financials,KSP
SPAMOD2961,New table,Modification,SPM2961,Spanish form 296_1,Financials,KSP
SPAMOD303,New table,Modification,SPM303,Spanish form 303,Financials,KSP
SPAMOD347,New table,New table,SPM347,Spanish form 347,Financials,KSP
SPAMOD347D,New table,New table,SPM347D,Spanish form 347,Financials,KSP
SPAMOD349,New table,,SPM349,Spanish form 349,Financials,KSP
SPAMOD349D,New table,Modification,SPM349D,Spanish 349 form detail,Financials,KSP
SPAMOD369,New table,New table,SPM369,Spanish form 369,Financials,KSP
SPAMOD3691,New table,New table,SPM3691,Spanish form 369,Financials,KSP
SPAMOD3692,New table,New table,SPM3692,Spanish form 369,Financials,KSP
SPAMOD390,New table,New table,SPM390,Spanish form 390,Financials,KSP
SPAMOD3901,New table,New table,SPM3901,Spanish form 390 - detail 1,Financials,KSP
SPAMOD3902,New table,New table,SPM3902,Spanish form 390 - detail 2,Financials,KSP
SPAMODCPY,New table,Modification,SPMDC,Spanish forms by company,Financials,KSP
SPAMODDET,New table,New table,SPMDET,Spanish forms details,Financials,KSP
SPAMODELS,New table,,SPMOD,Spanish forms,Financials,KSP
SPASENDINQ,New table,New table,SPSINQ,Sending,Financials,KSP
SPLIBREG,New table,Modification,SPLREG,Bookkeeping,Financials,KSP
SPPRTCONF,,,SPP,Price catalog definition,Sales,
SPREASON,,,SPR,Sales price list reasons,Common Data,
SPRICCONF,,,SPC,Customer pricing parameters,Common Data,
SPRICFICH,,,SPF,Customer prices (records),Sales,
SPRICINCR,,,SPI,Price increase,Sales,
SPRICLINK,Modification,,SPK,Sales price list search,Sales,
SPRICLIST,,,SPL,Customer price lists,Common Data,
SPRICPRTQ,,,SPQ,Sales price catalog,Sales,
SQUOTE,Modification,Modification,SQH,Quote header,Sales,
SQUOTED,Modification,Modification,SQD,Quote detail,Sales,
SREMAC,,,SRM,Base concerned,Common Data,
SREMACCPN,,,SRN,Components concerned,Common Data,
SRESAT,,,SRS,Request status history,Help Desk,
SRESTAT,,,SST,Requested statistics,Common Data,
SRETEMPL,,,SET,Service request model,Common Data,
SRETURN,Modification,Modification,SRH,Sales return header,Sales,
SRETURND,Modification,Modification,SRD,Sales return detail,Sales,
SSCNSSDCL,New table,New table,HRPSSC,Social security/Insurance,Human Resources administration,KPO
SSCNSSDCLD,New table,New table,SSD,Social security/Insurance,Human Resources administration,KPO
SSCNSSFIL,New table,New table,SSCF,Social security/Insurance,Human Resources administration,KPO
STAGE,New table,Modification,STG,Training period,Human Capital management,FRT
STAGEPRH,New table,New table,HRSTP,Training period information,Human Capital management,PRF
STAGETRG,New table,New table,HRSTR,Training targets,Human Capital management,
STAT,,,SAT,Statistics,Supervisor,
STATION,,,STX,Weighing location,Manufacturing,MWM
STATIONBOX,Modification,Modification,SBX,Location/booth configuration,Manufacturing,MWM
STATPRV,,,SAP,Statistical forecasts,Supervisor,
STJTMP,,,SJT,Interface - stock journal,Stock,
STKMVTADJ,Modification,Modification,SMA,Cost adjustment,Stock,
STKMVTITC,,,SMI,Movement with value pending,Common Data,
STKREGWRK,,,SRW,Cost adjustment,Stock,
STKTRS,Modification,Modification,SRT,Stock transactions,Common Data,
STLPAY,New table,New table,HRSTL,Payments,Human Resources administration,
STOACCPAR,Modification,Modification,SAC,Actng. interface parameter,Stock,
STOADCSEARCH,New table,New table,SAS,Stock search setup,Stock,ADC
STOALL,,,STA,Allocations,Stock,
STOCK,Modification,Modification,STO,Stock,Stock,
STOCOST,,,STP,Stock FIFO cost,Stock,
STOCOSTPIT,New table,New table,STPP,Stock FIFO cost PIT,Common Data,
STOJOU,Modification,Modification,STJ,Stock journal,Stock,
STOJOUOVE,,,SJO,Ovhds stock movements,Stock,
STOJOUVAL,,,SJV,Stock movement values,Stock,
STOLOC,,,STC,Locations,Stock,
STOLOCAFF,,,STF,Bin assignment,Stock,
STOLOCRES,,,SWL,Location work,Stock,
STOLOT,,,STL,Lot numbers,Stock,
STOLOTFCY,,,SLF,Lots - sites,Stock,
STOLOTFCYPIT,New table,New table,SLFP,Lot-site PIT,Common Data,
STOMVTCOST,,,SMC,Link documents / FIFO stack,Stock,
STOPAR,,,STE,Stock parameters,Stock,
STOPRED,,,PRE,Pick ticket detail,Stock,
STOPREH,,,PRH,Pick ticket header,Stock,
STOPRELIS,,,PRL,Shipment preparation list,Stock,
STOPRELISW,,,PLW,Work preparation lists,Stock,
STOPREW,,,PRW,Work preparation sheet,Stock,
STOQLYD,Modification,Modification,QLD,Quality control detail,Stock,
STOQLYH,Modification,Modification,QLH,Quality control header,Stock,
STOQLYSMP,,,SMP,Qual. control sampling,Common Data,
STOQUAL,Modification,Modification,STQ,Quality control,Stock,
STOREO,Modification,Modification,REO,Reorder,Stock,
STOSER,Modification,Modification,STS,Serial numbers,Stock,
STOSERW,New table,New table,SSW,Serials in process,Stock,
STOSRG,Modification,,SRG,Storage,Stock,
STOSRGW,Modification,Modification,SGW,Storage (details),Stock,
STOSYNW,,,SYW,Stock resynch work,Stock,
STOTRK,Modification,Modification,STR,Traceability,Stock,
STOTRKWRK,,,SKW,Traceability workfile,Stock,
STOVALCUM,,,SVC,Valuated stock totals report,Stock,
STOVALWRK,Modification,Modification,STV,Stock valuation report,Stock,
STOWIPW,,,SWW,Stock being processed,Stock,
STPPITTMP,New table,New table,STPT,Stock FIFO cost PIT,Common Data,
SUBCONT,,,PRX,Service supplier,Common Data,
SUCURSAL,,,SCU,Branch,Common Data,KAG
SVATCTL,New table,,SVAT,Control SVAT rules,Common Data,KPO
SVCRFOOT,,,SVF,Sales document - footer el.,Sales,
SVCRFOOTLOC,New table,New table,SVFLOC,Sales document - footer el.,Sales,
SVCRINVCND,New table,Modification,SVIC,Scheduled invoice,Sales,
SVCRINVCNDD,New table,Modification,SVICD,Scheduled invoice,Sales,
SVCRVAT,Modification,,SVV,Sales document - tax,Sales,
SVCRVATLOC,New table,New table,SVVLOC,Sales document - tax,Sales,
SWIEZAG,,,SWIEZ,Temporary table,A/P-A/R accounting,KSW
SWIIMPBVR,,,SWIIMP,Import Swiss ISR file,A/P-A/R accounting,KSW
SWIIMPTMP,,,SWITMP,Import Swiss ISR file (temp.),A/P-A/R accounting,KSW
SWIQRC,New table,,SWIQRC,Swiss QR-data,A/P-A/R accounting,
SWRKDLV,,,SWD,Automatic delivery generation,Sales,
SWRKINV,,,SWI,Automatic billing,Sales,
SWRKINVCND,New table,,SWICND,Automatic billing,Sales,
SYNCDATA,,,SYD,Synchronization data,CRM activities,
SYNCLINK,,,SYL,Synchronise cross reference,CRM activities,
SYNCPAR,,,SYP,Synchronization setup,CRM activities,
TAAAXXX,,,XXX,Template table to copy,Common Data,
TABACCINT,Modification,Modification,TCI,Intercompany account mapping,Common Data,INTCV
TABACCLIK,,,TCK,Reciprocal accounts,Common Data,
TABALLRUL,,,TRU,Allocation and issue rules,Common Data,
TABAT,New table,,HRTAT,WI/Occupational disease certificate,Human Resources administration,HRTAT
TABBOMALT,,,TBO,BOM codes,Common Data,
TABBUDTYP,Modification,,TBU,Budget transactions,Financials,
TABCABCUT,,,CUT,BC division rules,Manufacturing,MWM
TABCHANGE,,,TCH,Currency rate table,Supervisor,
TABCODEDT,Modification,Modification,TED,Report code table,Common Data,
TABCOEFF,,,TCO,Coefficients table,Supervisor,
TABCONTAINER,Modification,Modification,TCTR,Container,Common Data,
TABCOSTMET,Modification,Modification,TCM,Valuation methods,Common Data,
TABCOSTMVT,,,TVM,Movement values,Common Data,
TABCOUAFF,,,TCA,Sequence No assignments,Supervisor,
TABCOUNTRY,Modification,Modification,TCY,Country table,Supervisor,
TABCTL,,,TCT,Response table,Common Data,
TABCUR,Modification,Modification,TCU,Currency table,Supervisor,
TABDEPAGIO,Modification,Modification,TDA,Early discount/late charge table,Common Data,
TABEECNAT,,,TEC,Intrastat transaction nature table,Common Data,DEB
TABEECSCH,,,TSC,Statistical rule table,Common Data,DEB
TABEXPENS,Modification,,TES,Expenses tables,A/P-A/R accounting,
TABFILBAN,Modification,Modification,TFB,Bank file definitions,A/P-A/R accounting,
TABFILCASH,,,TFC,Treasury file,Financials,CASIN
TABFILTDS,Modification,,TFT,Fee declaration file,Financials,FEE2
TABFOR,,,TFO,Formula table,Supervisor,
TABFORLEG,,,TFOLEG,Formulas per legislation,Supervisor,
TABGEOCOD,,,TGE,Geographic codes,Common Data,
TABINVCND,New table,,INVCND,Invoicing terms,Common Data,
TABINVCNDLIN,New table,,INVCNDD,Invoicing terms,Common Data,
